ts,voltage
0.21,8.165
1.21,8.091
2.21,8.116
3.21,8.116
4.21,8.091
5.21,8.099
6.21,8.124
7.21,8.132
8.21,8.132
9.21,8.124
10.21,8.066
11.21,8.066
12.21,8.141
13.21,8.108
14.21,8.091
15.21,8.066
16.21,8.099
17.21,8.116
18.21,8.091
19.21,8.108
20.21,8.116
21.21,8.075
22.21,8.116
23.21,8.099
24.21,8.116
25.21,8.066
26.21,8.058
27.21,8.075
28.21,8.132
29.21,8.116
30.21,8.116
31.21,8.099
32.21,8.116
33.21,8.149
34.21,8.108
35.21,8.075
36.21,8.066
37.21,8.075
38.21,8.132
39.21,8.05
40.21,8.083
41.21,8.132
42.21,8.058
43.21,8.149
44.21,8.075
45.21,8.124
46.21,8.066
47.21,8.083
48.21,8.124
49.21,8.083
50.21,8.083
51.21,8.099
52.21,8.116
53.21,8.05
54.21,8.108
55.21,8.041
56.21,8.099
57.21,8.108
58.21,8.033
59.21,8.033
60.21,8.099
61.21,8.066
62.21,8.075
63.21,8.058
64.21,8.058
65.21,8.025
66.21,8.099
67.21,8.033
68.21,8.017
69.21,8.033
70.21,8.066
71.21,8.017
72.21,8.041
73.21,8.025
74.21,8.025
75.21,8
76.21,8.058
77.21,8
78.21,8.025
79.21,8.008
80.21,7.992
81.21,8.017
82.21,8.017
83.21,8.017
84.21,8.008
85.21,8.008
86.21,8.025
87.21,8.008
88.21,8.017
89.21,8.025
90.21,8
91.21,8.025
92.21,8.017
93.21,8.008
94.21,8.008
95.21,8.025
96.21,8.017
97.21,8.008
98.21,8
99.21,8.033
100.21,8.008
101.21,8
102.21,8.017
103.21,8.008
104.21,8.008
105.21,8.017
106.21,8.008
107.21,8.008
108.21,8.025
109.21,8.008
110.21,9.852
111.21,8.389
112.21,8.017
113.21,8.041
114.21,8.033
115.21,8.041
116.21,8.025
117.21,8.05
118.21,8.025
119.21,8.025
120.21,7.951
121.21,8.017
